year,region,disease,dalys_millions,global_dalys_millions
2023,Eastern Europe,Cancer,10.7,265.7
2023,China,Cancer,49.35,265.7
2023,India,Cancer,55.1,265.7
2023,Southeast Asia,Cancer,26.36,265.7
2023,Middle East,Cancer,19.01,265.7
2023,Africa,Cancer,34.1,265.7
2023,Latin America,Cancer,19.0,265.7
2023,Oceania,Cancer,2.6,265.7
2024,North America,Cancer,24.75,270.0
2024,Western Europe,Cancer,29.6,270.0
2024,Eastern Europe,Cancer,10.83,270.0
2024,China,Cancer,50.17,270.0
2024,India,Cancer,50.71,270.0
2024,Southeast Asia,Cancer,25.87,270.0
2024,Middle East,Cancer,18.7,270.0
2024,Africa,Cancer,33.64,270.0
2024,Latin America,Cancer,18.59,270.0
2024,Oceania,Cancer,2.66,270.0
2025,North America,Cancer,26.08,275.0
2025,Western Europe,Cancer,29.87,275.0
2025,Eastern Europe,Cancer,11.46,275.0
2025,China,Cancer,50.1,275.0
2025,India,Cancer,53.83,275.0
2025,Southeast Asia,Cancer,27.65,275.0
2025,Middle East,Cancer,19.82,275.0
2025,Africa,Cancer,38.07,275.0
2025,Latin America,Cancer,19.15,275.0
2025,Oceania,Cancer,2.57,275.0
2026,North America,Cancer,23.53,280.0
2026,Western Europe,Cancer,29.85,280.0
2026,Eastern Europe,Cancer,10.2,280.0
2026,China,Cancer,54.15,280.0
2026,India,Cancer,57.35,280.0
2026,Southeast Asia,Cancer,27.3,280.0
2026,Middle East,Cancer,18.75,280.0
2026,Africa,Cancer,38.51,280.0
2026,Latin America,Cancer,18.75,280.0
2026,Oceania,Cancer,2.69,280.0
2010,North America,Diabetes,5.24,60.0
2010,Western Europe,Diabetes,6.51,60.0
2010,Eastern Europe,Diabetes,2.46,60.0
2010,China,Diabetes,11.33,60.0
2010,India,Diabetes,12.51,60.0
2010,Southeast Asia,Diabetes,6.0,60.0
2010,Middle East,Diabetes,4.37,60.0
2010,Africa,Diabetes,7.71,60.0
2010,Latin America,Diabetes,3.9,60.0
2010,Oceania,Diabetes,0.58,60.0
2011,North America,Diabetes,5.49,63.0
2011,Western Europe,Diabetes,6.63,63.0
2011,Eastern Europe,Diabetes,2.43,63.0
2011,China,Diabetes,11.13,63.0
2011,India,Diabetes,12.92,63.0
2011,Southeast Asia,Diabetes,6.75,63.0
2011,Middle East,Diabetes,4.12,63.0
2011,Africa,Diabetes,7.9,63.0
2011,Latin America,Diabetes,4.27,63.0
2011,Oceania,Diabetes,0.65,63.0
2012,North America,Diabetes,5.89,66.0
2012,Western Europe,Diabetes,6.92,66.0
2012,Eastern Europe,Diabetes,2.72,66.0
2012,China,Diabetes,12.34,66.0
2012,India,Diabetes,13.19,66.0
2012,Southeast Asia,Diabetes,6.39,66.0
2012,Middle East,Diabetes,4.67,66.0
2012,Africa,Diabetes,8.63,66.0
2012,Latin America,Diabetes,4.58,66.0
2012,Oceania,Diabetes,0.65,66.0
2013,North America,Diabetes,6.44,69.0
2013,Western Europe,Diabetes,7.53,69.0
2013,Eastern Europe,Diabetes,2.88,69.0
2013,China,Diabetes,13.1,69.0
2013,India,Diabetes,14.06,69.0
2013,Southeast Asia,Diabetes,6.76,69.0
2013,Middle East,Diabetes,5.04,69.0
2013,Africa,Diabetes,9.28,69.0
2013,Latin America,Diabetes,5.36,69.0
2013,Oceania,Diabetes,0.7,69.0
2014,North America,Diabetes,6.66,72.0
2014,Western Europe,Diabetes,7.87,72.0
2014,Eastern Europe,Diabetes,2.87,72.0
2014,China,Diabetes,12.83,72.0
2014,India,Diabetes,14.57,72.0
2014,Southeast Asia,Diabetes,7.35,72.0
2014,Middle East,Diabetes,5.28,72.0
2014,Africa,Diabetes,9.62,72.0
2014,Latin America,Diabetes,4.95,72.0
2014,Oceania,Diabetes,0.71,72.0
2015,North America,Diabetes,6.4,75.0
2015,Western Europe,Diabetes,8.66,75.0
2015,Eastern Europe,Diabetes,2.94,75.0
2015,China,Diabetes,14.03,75.0
2015,India,Diabetes,15.17,75.0
2015,Southeast Asia,Diabetes,7.59,75.0
2015,Middle East,Diabetes,5.23,75.0
2015,Africa,Diabetes,9.59,75.0
2015,Latin America,Diabetes,5.05,75.0
2015,Oceania,Diabetes,0.8,75.0
2016,North America,Diabetes,6.89,76.2
2016,Western Europe,Diabetes,8.61,76.2
2016,Eastern Europe,Diabetes,3.22,76.2
2016,China,Diabetes,13.5,76.2
2016,India,Diabetes,15.51,76.2
2016,Southeast Asia,Diabetes,7.64,76.2
2016,Middle East,Diabetes,5.1,76.2
2016,Africa,Diabetes,9.99,76.2
2016,Latin America,Diabetes,5.46,76.2
2016,Oceania,Diabetes,0.75,76.2
2017,North America,Diabetes,6.88,77.5
2017,Western Europe,Diabetes,8.31,77.5
2017,Eastern Europe,Diabetes,3.37,77.5
2017,China,Diabetes,12.96,77.5
2017,India,Diabetes,15.81,77.5
2017,Southeast Asia,Diabetes,7.67,77.5
2017,Middle East,Diabetes,5.29,77.5
2017,Africa,Diabetes,10.12,77.5
2017,Latin America,Diabetes,5.57,77.5
2017,Oceania,Diabetes,0.8,77.5
2018,North America,Diabetes,7.14,78.8
2018,Western Europe,Diabetes,8.88,78.8
2018,Eastern Europe,Diabetes,3.31,78.8
2018,China,Diabetes,14.65,78.8
2018,India,Diabetes,15.41,78.8
2018,Southeast Asia,Diabetes,8.03,78.8
2018,Middle East,Diabetes,5.62,78.8
2018,Africa,Diabetes,10.06,78.8
2018,Latin America,Diabetes,5.18,78.8
2018,Oceania,Diabetes,0.73,78.8
2019,North America,Diabetes,7.22,80.0
2019,Western Europe,Diabetes,8.74,80.0
2019,Eastern Europe,Diabetes,3.05,80.0
2019,China,Diabetes,15.02,80.0
2019,India,Diabetes,16.1,80.0
2019,Southeast Asia,Diabetes,8.44,80.0
2019,Middle East,Diabetes,5.68,80.0
2019,Africa,Diabetes,10.12,80.0
2019,Latin America,Diabetes,5.7,80.0
2019,Oceania,Diabetes,0.82,80.0
2020,North America,Diabetes,6.87,78.0
2020,Western Europe,Diabetes,7.95,78.0
2020,Eastern Europe,Diabetes,3.13,78.0
2020,China,Diabetes,13.49,78.0
2020,India,Diabetes,16.32,78.0
2020,Southeast Asia,Diabetes,7.67,78.0
2020,Middle East,Diabetes,5.85,78.0
2020,Africa,Diabetes,9.46,78.0
2020,Latin America,Diabetes,5.49,78.0
2020,Oceania,Diabetes,0.83,78.0
2021,North America,Diabetes,6.6,76.0
2021,Western Europe,Diabetes,8.16,76.0
2021,Eastern Europe,Diabetes,2.99,76.0
2021,China,Diabetes,13.31,76.0
2021,India,Diabetes,15.35,76.0
2021,Southeast Asia,Diabetes,7.22,76.0
2021,Middle East,Diabetes,5.3,76.0
2021,Africa,Diabetes,10.24,76.0
2021,Latin America,Diabetes,5.27,76.0
2021,Oceania,Diabetes,0.73,76.0
2022,North America,Diabetes,7.41,79.0
2022,Western Europe,Diabetes,8.78,79.0
2022,Eastern Europe,Diabetes,3.03,79.0
2022,China,Diabetes,13.5,79.0
2022,India,Diabetes,15.21,79.0
2022,Southeast Asia,Diabetes,8.07,79.0
2022,Middle East,Diabetes,5.59,79.0
2022,Africa,Diabetes,10.76,79.0
2022,Latin America,Diabetes,5.46,79.0
2022,Oceania,Diabetes,0.76,79.0
2023,North America,Diabetes,7.66,82.0
2023,Western Europe,Diabetes,8.66,82.0
2023,Eastern Europe,Diabetes,3.3,82.0
2023,China,Diabetes,13.87,82.0
2023,India,Diabetes,16.03,82.0
2023,Southeast Asia,Diabetes,8.54,82.0
2023,Middle East,Diabetes,5.58,82.0
2023,Africa,Diabetes,11.18,82.0
2023,Latin America,Diabetes,5.23,82.0
2023,Oceania,Diabetes,0.8,82.0
2024,North America,Diabetes,7.6,85.0
2024,Western Europe,Diabetes,9.84,85.0
2024,Eastern Europe,Diabetes,3.24,85.0
2024,China,Diabetes,15.72,85.0
2024,India,Diabetes,17.73,85.0
2024,Southeast Asia,Diabetes,8.26,85.0
2024,Middle East,Diabetes,5.86,85.0
2024,Africa,Diabetes,11.28,85.0
2024,Latin America,Diabetes,5.61,85.0
2024,Oceania,Diabetes,0.83,85.0
2025,North America,Diabetes,8.38,88.5
2025,Western Europe,Diabetes,9.76,88.5
2025,Eastern Europe,Diabetes,3.52,88.5
2025,China,Diabetes,16.0,88.5
2025,India,Diabetes,18.12,88.5
2025,Southeast Asia,Diabetes,9.13,88.5
2025,Middle East,Diabetes,6.06,88.5
2025,Africa,Diabetes,12.42,88.5
2025,Latin America,Diabetes,6.53,88.5
2025,Oceania,Diabetes,0.91,88.5
2026,North America,Diabetes,8.01,92.0
2026,Western Europe,Diabetes,9.54,92.0
2026,Eastern Europe,Diabetes,3.63,92.0
2026,China,Diabetes,16.6,92.0
2026,India,Diabetes,17.14,92.0
2026,Southeast Asia,Diabetes,9.38,92.0
2026,Middle East,Diabetes,6.78,92.0
2026,Africa,Diabetes,12.43,92.0
2026,Latin America,Diabetes,6.27,92.0
2026,Oceania,Diabetes,0.89,92.0
2010,North America,Chronic respiratory,5.57,110.0
2010,Western Europe,Chronic respiratory,6.56,110.0
2010,Eastern Europe,Chronic respiratory,4.48,110.0
2010,China,Chronic respiratory,20.28,110.0
2010,India,Chronic respiratory,22.98,110.0
2010,Southeast Asia,Chronic respiratory,10.51,110.0
2010,Middle East,Chronic respiratory,7.77,110.0
2010,Africa,Chronic respiratory,23.85,110.0
2010,Latin America,Chronic respiratory,7.67,110.0
2010,Oceania,Chronic respiratory,1.14,110.0
2011,North America,Chronic respiratory,5.67,109.0
2011,Western Europe,Chronic respiratory,6.92,109.0
2011,Eastern Europe,Chronic respiratory,4.43,109.0
2011,China,Chronic respiratory,19.53,109.0
2011,India,Chronic respiratory,21.58,109.0
2011,Southeast Asia,Chronic respiratory,10.17,109.0
2011,Middle East,Chronic respiratory,8.05,109.0
2011,Africa,Chronic respiratory,23.67,109.0
2011,Latin America,Chronic respiratory,7.79,109.0
2011,Oceania,Chronic respiratory,1.12,109.0
2012,North America,Chronic respiratory,5.14,108.0
2012,Western Europe,Chronic respiratory,6.25,108.0
2012,Eastern Europe,Chronic respiratory,4.6,108.0
2012,China,Chronic respiratory,19.67,108.0
2012,India,Chronic respiratory,21.1,108.0
2012,Southeast Asia,Chronic respiratory,10.75,108.0
2012,Middle East,Chronic respiratory,7.9,108.0
2012,Africa,Chronic respiratory,24.66,108.0
2012,Latin America,Chronic respiratory,7.13,108.0
2012,Oceania,Chronic respiratory,1.15,108.0
2013,North America,Chronic respiratory,5.56,107.0
2013,Western Europe,Chronic respiratory,6.38,107.0
2013,Eastern Europe,Chronic respiratory,4.08,107.0
2013,China,Chronic respiratory,20.09,107.0
2013,India,Chronic respiratory,21.81,107.0
2013,Southeast Asia,Chronic respiratory,10.09,107.0
2013,Middle East,Chronic respiratory,7.42,107.0
2013,Africa,Chronic respiratory,26.68,107.0
2013,Latin America,Chronic respiratory,7.49,107.0
2013,Oceania,Chronic respiratory,1.04,107.0
2014,North America,Chronic respiratory,5.09,106.0
2014,Western Europe,Chronic respiratory,6.83,106.0
2014,Eastern Europe,Chronic respiratory,4.39,106.0
2014,China,Chronic respiratory,20.18,106.0
2014,India,Chronic respiratory,21.41,106.0
2014,Southeast Asia,Chronic respiratory,11.15,106.0
2014,Middle East,Chronic respiratory,7.17,106.0
2014,Africa,Chronic respiratory,23.47,106.0
2014,Latin America,Chronic respiratory,7.51,106.0
2014,Oceania,Chronic respiratory,1.12,106.0
2015,North America,Chronic respiratory,5.32,105.0
2015,Western Europe,Chronic respiratory,6.14,105.0
2015,Eastern Europe,Chronic respiratory,4.21,105.0
2015,China,Chronic respiratory,17.67,105.0
2015,India,Chronic respiratory,19.14,105.0
2015,Southeast Asia,Chronic respiratory,10.86,105.0
2015,Middle East,Chronic respiratory,7.24,105.0
2015,Africa,Chronic respiratory,22.86,105.0
2015,Latin America,Chronic respiratory,7.6,105.0
2015,Oceania,Chronic respiratory,1.11,105.0
2016,North America,Chronic respiratory,5.3,103.8
2016,Western Europe,Chronic respiratory,6.72,103.8
2016,Eastern Europe,Chronic respiratory,4.23,103.8
2016,China,Chronic respiratory,18.9,103.8
2016,India,Chronic respiratory,20.95,103.8
2016,Southeast Asia,Chronic respiratory,9.86,103.8
2016,Middle East,Chronic respiratory,7.55,103.8
2016,Africa,Chronic respiratory,20.7,103.8
2016,Latin America,Chronic respiratory,7.09,103.8
2016,Oceania,Chronic respiratory,1.04,103.8
2017,North America,Chronic respiratory,4.97,102.5
2017,Western Europe,Chronic respiratory,6.04,102.5
2017,Eastern Europe,Chronic respiratory,4.41,102.5
2017,China,Chronic respiratory,19.28,102.5
2017,India,Chronic respiratory,19.95,102.5
2017,Southeast Asia,Chronic respiratory,10.06,102.5
2017,Middle East,Chronic respiratory,6.82,102.5
2017,Africa,Chronic respiratory,23.19,102.5
2017,Latin America,Chronic respiratory,7.1,102.5
2017,Oceania,Chronic respiratory,0.95,102.5
2018,North America,Chronic respiratory,5.08,101.2
2018,Western Europe,Chronic respiratory,6.18,101.2
2018,Eastern Europe,Chronic respiratory,4.21,101.2
2018,China,Chronic respiratory,18.17,101.2
2018,India,Chronic respiratory,19.95,101.2
2018,Southeast Asia,Chronic respiratory,10.96,101.2
2018,Middle East,Chronic respiratory,7.09,101.2
2018,Africa,Chronic respiratory,22.93,101.2
2018,Latin America,Chronic respiratory,6.94,101.2
2018,Oceania,Chronic respiratory,1.04,101.2
2019,North America,Chronic respiratory,4.72,100.0
2019,Western Europe,Chronic respiratory,5.89,100.0
2019,Eastern Europe,Chronic respiratory,3.81,100.0
